LongTerm_Start Date,LongTerm_Bands,LongTerm_Venue,LongTerm_Location
2022-08-27,"Monica Martin, Jake Sherman",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2022-08-25,Futurebirds,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2022-08-19,Bodega,Cactus Club,"Milwaukee, Wisconsin, United States"
2022-08-13,Wave Chapelle,Marcus Center Bradley Pavillion,"Milwaukee, Wisconsin, United States"
2022-08-12,"Dead Horses, The Brother Brothers",Turner Hall ,"Milwaukee, Wisconsin, United States"
2022-08-10,"Rosie Tucker, The Beths",Raccoon Motel,"Davenport, Iowa, United States"
2022-08-04,"Yellow Ostrich, Bathtub Cig",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2022-07-28,"Green Day, J. Cole, Big Sean, Metallica, Dua Lipa, Kygo, Tove Lo, Charli xcx, Machine Gun Kelly, Lil Baby, The Wombats, Tinashe, Local Natives, BANKS, Duke Dumont, ZHU, Royal Blood, Willow, Denzel Curry, Dashboard Confessional, Jazmine Sullivan, girl in red, Wallows, Manchester Orchestra, COIN, Cordae, King Princess, Chelsea Cutler, MK, Mahalia, Måneskin, Black Coffee, Bob Moses, The Marías, Beach Bunny, Polo & Pan, Sam Fender, Young Nudy, Duckwrth, IDLES, Maxo Kream, FLETCHER, Role Model, Last Dinosaurs, Goth Babe, PinkPantheress, 100%, MUNA, Liquid Stranger, Hinds, James Hype, Chris Lorenzo, Sampa The Great, The Regrettes, Remi Wolf, Turnstile, Rolling Blackouts Coastal Fever, Coi Leray, Caroline Polachek, Habstrakt, Alexander 23, Young franco, CloZee, Jasiah, Del Water Gap, Gracie Abrams, Blxst, Wet Leg, Rawayana, Cochise, Larry June, Inhaler, Zach Bryan, Djo, Griff, Gayle, BabyJake, Lorna Shore, Surf Mesa, Zoe Wees, EVAN GIIA, Genesis Owusu, flipturn, Low Cut Connie, KennyHoopla, BIJOU, DYLAN, Coco & Clair Clair, Claire Rosinkranz, SoFaygo, Atliens, Glaive, Daisy the Great, Whipped Cream, Maude Latour, Audrey Nuna, Mariah the Scientist, Mills, John Summit, Jesse Jo Stark, TSHA, Erica Banks, Sidepiece, Willie Jones, Rosie, Bikini, India Shawn, redveil, ericdoa, Teezo Touchdown, Emmy Meli, Trella, Pom Pom Squad, Petey, Tony Velour, midwxst, Jordy, Meet Me @ the Altar, Giovannie and the Hired Guns, LP Giobbi, Jackie Hayes, Peter Cottontale, Blackstarkids, Sam Austins, Horsegirl, Gordo, La Doña, David Solomon, Wreckno, Lucille Croft, COM3T, Biicla, Buffalo Nichols, Niko Rubio, Prentiss, underscores (US), Steller, Charm La'Donna, Gata, Dannylux, Aiida, Calder Allen, TAIPEI HOUSTON",Grant Park,"Chicago, Illinois, United States"
2022-07-28,"Horsegirl, Lifeguard",Cactus Club,"Milwaukee, Wisconsin, United States"
2022-07-09,"Parquet Courts, Illuminati Hotties, Dry Cleaning",Summerfest,"Milwaukee, Wisconsin, United States"
2022-07-07,"Ashe, Adam Melchor",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2022-07-02,Houndmouth,Cooperage,"Milwaukee, Wisconsin, United States"
2022-06-25,Noga Erez,Summerfest,"Milwaukee, Wisconsin, United States"
2022-06-13,Another Michael,House Show,"Philadelphia, Pennsylvania, United States"
2022-06-06,PUP,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
2022-06-06,"PUP, Oceanator",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2022-06-03,"Phoebe Bridgers, Charlie Hickey","BMO Pavilion, Henry Maier Festival Park","Milwaukee, Wisconsin, United States"
2022-05-29,The Rough & Tumble,Chateau De Sched,"Hartland, WI, US"
2022-05-14,"S. Carey, Courtney Hartman",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2022-04-07,"Haley Heynderickx, Matt Dorrien",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2022-04-07,Wave Chapelle,No Studios,"Milwaukee, Wisconsin, United States"
2022-04-06,"Wolf Alice, Charlie Hickey",Majestic Theatre,"Madison, Wisconsin, United States"
2022-04-03,"Lala Lala, Elton Aura",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2022-03-29,Shovels & Rope,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2022-03-28,"Perfume Genius, Hand Habits",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2022-03-25,Cabin Essence,3rd Ward Coffee Shop,"Milwaukee, Wisconsin, United States"
2022-03-24,"Bright Eyes, Christian Lee Hutson",The Riverside Theater,"Milwaukee, Wisconsin, United States"
2022-03-18,"The Tallest Man On Earth, Uwade",Pabst Theatre,"Milwaukee, Wisconsin, United States"
