Start Date,Ranking,Bands,Venue,Location,Rating,Paid,Discount,capacity,Is Local,dist_from_home,drive_time,Scrobbles Before Concert,Album Name,Release Date,Tier,Waited,Venue Location,Full Address,Latitude,Longitude,Venue_Bands_Complete,LongTerm_Start Date,LongTerm_Bands,LongTerm_Venue,LongTerm_Location
2024-05-01,31.0,"Durry, Lunar Moth",Vivarium,"Milwaukee, Wisconsin, United States",4.0,0.0,Street Team,450.0,0.0,5.5,16.0,24.0,,,,,"Vivarium, Milwaukee, Wisconsin, United States","1830 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826,"Wave Chapelle, ADORNER, Molly Grace, The Wonderlands (US), Diet Lite, Motel Breakfast, Ladybird, Sun June, Wild Pink, Sinai Vessel, Real Estate, Marina Allen, Durry, Lunar Moth, Reyna, Vic and Gab, Eliza Hanson, Maggie Rose, Dessa, Wave Chapelle, Kaitlin Butts, Angel White, Marika Hackman, Art School Girlfriend, Haley Heynderickx, Lily Breshears",2024-05-01,"Durry, Lunar Moth",Vivarium,"Milwaukee, Wisconsin, United States"
2024-04-06,32.0,We Are the Willows,Paradigm Coffee,"Sheboygan, Wisconsin, United States",4.0,1.0,,90.0,0.0,56.8,60.0,254.0,,,,,"Paradigm Coffee, Sheboygan, Wisconsin, United States","1202 N 8th St, Sheboygan, WI 53081",43.7575813,-87.7130539,We Are the Willows,2024-04-06,We Are the Willows,Paradigm Coffee,"Sheboygan, Wisconsin, United States"
2024-02-22,33.0,"Molly Grace, The Wonderlands (US)",Vivarium,"Milwaukee, Wisconsin, United States",4.0,0.0,Street Team,450.0,0.0,5.5,16.0,30.0,,,,,"Vivarium, Milwaukee, Wisconsin, United States","1820 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826,"Wave Chapelle, ADORNER, Molly Grace, The Wonderlands (US), Diet Lite, Motel Breakfast, Ladybird, Sun June, Wild Pink, Sinai Vessel, Real Estate, Marina Allen, Durry, Lunar Moth, Reyna, Vic and Gab, Eliza Hanson, Maggie Rose, Dessa, Wave Chapelle, Kaitlin Butts, Angel White, Marika Hackman, Art School Girlfriend, Haley Heynderickx, Lily Breshears",2024-02-22,"Molly Grace, The Wonderlands (US)",Vivarium,"Milwaukee, Wisconsin, United States"
2024-06-21,34.0,"Charlotte Cardin, Taylor Bennett",Summerfest,"Milwaukee, Wisconsin, United States",4.0,0.0,Summerfest Promo,10000.0,0.0,7.1,11.0,51.0,99 Nights,2023-08-25,Top 25,301 day(s),"Summerfest Grounds at Henry Maier Festival Park, Milwaukee, Wisconsin, United States","200 N Harbor Dr, Milwaukee, WI 53202",43.0310609,-87.8995157,"Charlotte Cardin, Taylor Bennett, Brigitte Calls Me Baby, grouptherapy., Say She She, Wave Chapelle, Ellie Jackson, Reyna, Local Natives, Amy Grant",06/21/2024,,,
2024-07-04,35.0,"Wave Chapelle, Ellie Jackson, Reyna, Say She She",Summerfest,"Milwaukee, Wisconsin, United States",4.0,0.0,Summerfest Promo,10000.0,1.0,7.1,11.0,496.0,Can't Stop Won't Stop,2023-05-05,Top 100,426 day(s),"Summerfest Grounds at Henry Maier Festival Park, Milwaukee, Wisconsin, United States","200 N Harbor Dr, Milwaukee, WI 53202",43.0310609,-87.8995157,"Charlotte Cardin, Taylor Bennett, Brigitte Calls Me Baby, grouptherapy., Say She She, Wave Chapelle, Ellie Jackson, Reyna, Local Natives, Amy Grant",06/21/2024,,,
2024-06-13,36.0,Gregory Allen Isakov,Miller High Life Theatre,"Milwaukee, Wisconsin, United States",4.0,0.0,Street Team,4086.0,0.0,4.5,13.0,26.0,,,,,"Miller High Life Theatre, Milwaukee, Wisconsin, United States","500 W Kilbourn Ave, Milwaukee, WI 53203",43.0422794,-87.9181594,Gregory Allen Isakov,2024-06-13,Gregory Allen Isakov,Miller High Life Theatre,"Milwaukee, Wisconsin, United States"
2024-07-06,37.0,Amy Grant,Summerfest,"Milwaukee, Wisconsin, United States",4.0,0.0,Summerfest Promo,10000.0,0.0,7.1,11.0,12.0,,,,,"Summerfest, Milwaukee, Wisconsin, United States","200 N Harbor Dr, Milwaukee, WI 53202",43.0310609,-87.8995157,"Charlotte Cardin, Taylor Bennett, Brigitte Calls Me Baby, grouptherapy., Say She She, Wave Chapelle, Ellie Jackson, Reyna, Local Natives, Amy Grant",06/21/2024,"Chase Rice, Amy Grant, Extreme, BoDeans, Sister Hazel, Living Colour, Cracker, Uprooted Feat. Michael Glabicki, Anne Wilson, Ashland Craft, Seaforth, Giacomo Turra, Tim Montana, Josh Morgan, Me Like Bees, Cold War Kids, Fillmore East",Summerfest,"Milwaukee, Wisconsin, United States"
2024-10-11,38.0,"Horseshoes & Hand Grenades, Ladybird",Pabst Theater,"Milwaukee, Wisconsin, United States",4.0,0.0,Street Team,1279.0,1.0,4.9,14.0,16.0,Amy Come on Home,2024-05-17,Top 100,147 day(s),"Pabst Theater, Milwaukee, Wisconsin, United States","149 E Wells St, Milwaukee, WI 53202",43.0411402,-87.9104618,"Cat Power, Alvvays, Spllit, Iron & Wine, Ken Pomeroy, Horseshoes & Hand Grenades, Ladybird",2024-10-11,"Horseshoes & Hand Grenades, Ladybird",Pabst Theater,"Milwaukee, Wisconsin, United States"
2024-11-13,39.0,"Modest Mouse, The Black Heart Procession",The Riverside Theater,"Milwaukee, Wisconsin, United States",4.0,0.0,Street Team,2450.0,0.0,5.5,12.0,89.0,,,,,"The Riverside Theater, Milwaukee, Wisconsin, United States","120 W Wisconsin Ave, Milwaukee, WI 53203",43.0388947,-87.9109327,"Sierra Ferrell, Cat Clyde, Wilco, Cut Worms, Modest Mouse, The Black Heart Procession",2024-11-13,"Modest Mouse, The Black Heart Procession",The Riverside Theater,"Milwaukee, Wisconsin, United States"
2024-10-04,40.0,Yard Act,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States",4.0,0.0,88nine Member,100.0,0.0,7.3,13.0,71.0,Where’s My Utopia?,2024-03-01,Top 100,217 day(s),"88Nine Radio Milwaukee Studios, Milwaukee, Wisconsin, United States","226 E Pittsburgh Ave, Milwaukee, WI 53204",43.0296831,-87.9093341,"Wave Chapelle, Dak Dubois, Scam Likely, Sleepy Groucho, eliza mclamb, Ra Ra Riot, Yard Act",2024-10-04,Yard Act,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
